gene,zonation
Acly,periportal
Ak4,periportal
Aldh1b1,periportal
Aldob,periportal
Amdhd1,periportal
Aox3,periportal
Apoa4,periportal
Apoc2,periportal
App,periportal
Aqp4,periportal
Aqp8,periportal
Arg1,periportal
Arsg,periportal
Asl,periportal
Ass1,periportal
Atp1b1,periportal
Bdh2,periportal
Btg2,periportal
C9,periportal
Cbs,periportal
Cdc42ep1,periportal
Cdh1,periportal
Cryl1,periportal
Ctnnbip1,periportal
Ctsc,periportal
Cyp2f2,periportal
Cyp39a1,periportal
Eno1,periportal
Etnppl,periportal
Fbp1,periportal
Fgfr2,periportal
Frmd4b,periportal
Ftcd,periportal
Gas2,periportal
Gldc,periportal
Gm2a,periportal
Got1,periportal
Gpc1,periportal
Gsta2,periportal
Hal,periportal
Herpud1,periportal
Hgfac,periportal
Hnmt,periportal
Hpx,periportal
Hsd17b13,periportal
Hsd17b6,periportal
Igfals,periportal
Irf2,periportal
Itih5,periportal
Ly6a,periportal
Ly6e,periportal
Mapre2,periportal
Mfsd2a,periportal
Mmd2,periportal
Msr1,periportal
Nnmt,periportal
Olfm3,periportal
Orm1,periportal
Pck1,periportal
Pigr,periportal
Rasgef1b,periportal
Rbp1,periportal
Retsat,periportal
Sdc1,periportal
Sds,periportal
Sdsl,periportal
Serpina12,periportal
Sfxn1,periportal
Slc20a1,periportal
Slc25a47,periportal
Slc3a1,periportal
Slc7a2,periportal
Slco2a1,periportal
Sox9,periportal
St3gal5,periportal
Sulf2,periportal
Sult5a1,periportal
Tff3,periportal
Tle4,periportal
Tm4sf1,periportal
Tm4sf4,periportal
Uox,periportal
Uroc1,periportal
